run_label,parameter_name,parameter_value,subgroup,rows,log_loss,auc,accuracy
colsample_bytree=0.6,colsample_bytree,0.6,weight_class:bantamweight,122,0.6156023144721985,0.767123287671233,0.6967213114754098
colsample_bytree=0.7,colsample_bytree,0.7,weight_class:bantamweight,122,0.6163442134857178,0.7601341906625664,0.7131147540983607
colsample_bytree=0.9,colsample_bytree,0.9,weight_class:bantamweight,122,0.6148457527160645,0.7654459043891528,0.6639344262295082
colsample_bytree=1.0,colsample_bytree,1.0,weight_class:bantamweight,122,0.6185582280158997,0.7587363712608332,0.7049180327868853
gamma=0.5,gamma,0.5,weight_class:bantamweight,122,0.621679425239563,0.7483925076880067,0.6639344262295082
gamma=1.0,gamma,1.0,weight_class:bantamweight,122,0.6209135055541992,0.7455968688845401,0.6557377049180327
gamma=2.0,gamma,2.0,weight_class:bantamweight,122,0.6190549731254578,0.7500698909700866,0.6721311475409836
learning_rate=0.03,learning_rate,0.03,weight_class:bantamweight,122,0.6135382652282715,0.7634889572267262,0.6885245901639344
learning_rate=0.07,learning_rate,0.07,weight_class:bantamweight,122,0.6203910112380981,0.7576181157394464,0.6721311475409836
learning_rate=0.1,learning_rate,0.1,weight_class:bantamweight,122,0.6087425947189331,0.7646072127481129,0.680327868852459
max_depth=3,max_depth,3,weight_class:bantamweight,122,0.6133053302764893,0.7746715124405926,0.6885245901639344
max_depth=5,max_depth,5,weight_class:bantamweight,122,0.6195474863052368,0.7537042214145931,0.680327868852459
max_depth=6,max_depth,6,weight_class:bantamweight,122,0.6235775947570801,0.7293821638244339,0.680327868852459
min_child_weight=1,min_child_weight,1,weight_class:bantamweight,122,0.6177012324333191,0.7626502655856863,0.6721311475409836
min_child_weight=5,min_child_weight,5,weight_class:bantamweight,122,0.614224910736084,0.7620911378249929,0.6885245901639344
min_child_weight=7,min_child_weight,7,weight_class:bantamweight,122,0.6141764521598816,0.758736371260833,0.6885245901639344
n_estimators=150,n_estimators,150,weight_class:bantamweight,122,0.6216505169868469,0.7486720715683532,0.6639344262295082
n_estimators=500,n_estimators,500,weight_class:bantamweight,122,0.6216505169868469,0.7486720715683532,0.6639344262295082
n_estimators=800,n_estimators,800,weight_class:bantamweight,122,0.6216505169868469,0.7486720715683532,0.6639344262295082
reg_alpha=0.1,reg_alpha,0.1,weight_class:bantamweight,122,0.6228010654449463,0.75062901873078,0.680327868852459
reg_alpha=0.5,reg_alpha,0.5,weight_class:bantamweight,122,0.6159136295318604,0.7581772435001398,0.6885245901639344
reg_alpha=1.0,reg_alpha,1.0,weight_class:bantamweight,122,0.6148484945297241,0.762091137824993,0.6639344262295082
reg_lambda=10.0,reg_lambda,10.0,weight_class:bantamweight,122,0.6034504175186157,0.7749510763209394,0.6885245901639344
reg_lambda=2.0,reg_lambda,2.0,weight_class:bantamweight,122,0.6198243498802185,0.7497903270897399,0.680327868852459
reg_lambda=5.0,reg_lambda,5.0,weight_class:bantamweight,122,0.6136792302131653,0.7601341906625664,0.6721311475409836
subsample=0.6,subsample,0.6,weight_class:bantamweight,122,0.6151382923126221,0.7620911378249929,0.7049180327868853
subsample=0.7,subsample,0.7,weight_class:bantamweight,122,0.6046188473701477,0.7696393625943528,0.6721311475409836
subsample=0.9,subsample,0.9,weight_class:bantamweight,122,0.6165996789932251,0.7640480849874196,0.7131147540983607
subsample=1.0,subsample,1.0,weight_class:bantamweight,122,0.6087293028831482,0.771037181996086,0.7131147540983607
baseline,baseline,baseline,weight_class:catch_weight,23,0.6997106671333313,0.5555555555555555,0.5652173913043478
colsample_bytree=0.6,colsample_bytree,0.6,weight_class:catch_weight,23,0.6953503489494324,0.5793650793650793,0.5217391304347826
colsample_bytree=0.7,colsample_bytree,0.7,weight_class:catch_weight,23,0.7035552263259888,0.5714285714285714,0.5652173913043478
colsample_bytree=0.9,colsample_bytree,0.9,weight_class:catch_weight,23,0.7077262997627258,0.5555555555555556,0.5652173913043478
colsample_bytree=1.0,colsample_bytree,1.0,weight_class:catch_weight,23,0.7109118103981018,0.5555555555555556,0.5217391304347826
gamma=0.5,gamma,0.5,weight_class:catch_weight,23,0.6997103691101074,0.5555555555555555,0.5652173913043478
gamma=1.0,gamma,1.0,weight_class:catch_weight,23,0.7077142596244812,0.5555555555555556,0.5652173913043478
gamma=2.0,gamma,2.0,weight_class:catch_weight,23,0.7133516073226929,0.5476190476190476,0.5652173913043478
learning_rate=0.03,learning_rate,0.03,weight_class:catch_weight,23,0.7047914266586304,0.5714285714285714,0.5217391304347826
learning_rate=0.07,learning_rate,0.07,weight_class:catch_weight,23,0.6884627342224121,0.5873015873015873,0.5652173913043478
learning_rate=0.1,learning_rate,0.1,weight_class:catch_weight,23,0.7126089930534363,0.5555555555555556,0.6086956521739131
max_depth=3,max_depth,3,weight_class:catch_weight,23,0.7017654180526733,0.5873015873015872,0.5652173913043478
max_depth=5,max_depth,5,weight_class:catch_weight,23,0.7033824324607849,0.5476190476190477,0.5652173913043478
max_depth=6,max_depth,6,weight_class:catch_weight,23,0.7300624251365662,0.5238095238095238,0.5652173913043478
min_child_weight=1,min_child_weight,1,weight_class:catch_weight,23,0.6979475617408752,0.5555555555555556,0.5652173913043478
min_child_weight=5,min_child_weight,5,weight_class:catch_weight,23,0.6991037130355835,0.5555555555555556,0.5652173913043478
min_child_weight=7,min_child_weight,7,weight_class:catch_weight,23,0.6998095512390137,0.5555555555555556,0.5652173913043478
n_estimators=150,n_estimators,150,weight_class:catch_weight,23,0.6997106671333313,0.5555555555555555,0.5652173913043478
n_estimators=500,n_estimators,500,weight_class:catch_weight,23,0.6997106671333313,0.5555555555555555,0.5652173913043478
n_estimators=800,n_estimators,800,weight_class:catch_weight,23,0.6997106671333313,0.5555555555555555,0.5652173913043478
reg_alpha=0.1,reg_alpha,0.1,weight_class:catch_weight,23,0.6974038481712341,0.5634920634920635,0.5652173913043478
reg_alpha=0.5,reg_alpha,0.5,weight_class:catch_weight,23,0.7042599320411682,0.5714285714285714,0.5652173913043478
reg_alpha=1.0,reg_alpha,1.0,weight_class:catch_weight,23,0.7023357152938843,0.5634920634920635,0.5652173913043478
reg_lambda=10.0,reg_lambda,10.0,weight_class:catch_weight,23,0.7107709050178528,0.5476190476190476,0.5217391304347826
reg_lambda=2.0,reg_lambda,2.0,weight_class:catch_weight,23,0.7106894850730896,0.5714285714285714,0.5652173913043478
reg_lambda=5.0,reg_lambda,5.0,weight_class:catch_weight,23,0.7016093134880066,0.5476190476190477,0.5217391304347826
subsample=0.6,subsample,0.6,weight_class:catch_weight,23,0.7244004607200623,0.5079365079365079,0.5217391304347826
subsample=0.7,subsample,0.7,weight_class:catch_weight,23,0.723802387714386,0.5873015873015872,0.5217391304347826
subsample=0.9,subsample,0.9,weight_class:catch_weight,23,0.7058306336402893,0.5793650793650793,0.5652173913043478
subsample=1.0,subsample,1.0,weight_class:catch_weight,23,0.7064840197563171,0.5555555555555556,0.5652173913043478
baseline,baseline,baseline,weight_class:featherweight,126,0.6708229184150696,0.6115275264926338,0.5793650793650794
colsample_bytree=0.6,colsample_bytree,0.6,weight_class:featherweight,126,0.6727019548416138,0.6053243732230551,0.5793650793650794
